original_url,final_url,method_used,status,ok,error
"https://www.unitedenergy.com.au/outages/","https://www.unitedenergy.com.au/outages/","GET","404","false",""
"https://www.localgovernment.vic.gov.au/councils-and-communities/find-your-local-council","https://www.localgovernment.vic.gov.au/councils-and-communities/find-your-local-council","GET","404","false",""
"https://www.c2cvariations.com.au/Ergon%20Energy%20Outages","https://www.c2cvariations.com.au/Ergon%20Energy%20Outages","GET","404","false",""
"https://translink.com.au/service-updates","https://translink.com.au/service-updates","HEAD","200","true",""
"https://www.c2cvariations.com.au/Powerlink%20QLD%20Network","https://www.c2cvariations.com.au/Powerlink%20QLD%20Network","GET","404","false",""
"https://www.c2cvariations.com.au/Healthdirect%20QLD%20Finder","https://www.c2cvariations.com.au/Healthdirect%20QLD%20Finder","GET","404","false",""
"https://www.healthdirect.gov.au/australian-health-services/results/nsw","https://www.healthdirect.gov.au/australian-health-services/results/nsw","GET","500","false",""
"https://www.c2cvariations.com.au/QLD%20Health%20Alerts","https://www.c2cvariations.com.au/QLD%20Health%20Alerts","GET","404","false",""
"https://www.ergon.com.au/network/outages","https://www.ergon.com.au/network/outages","HEAD","200","true",""
"https://www.c2cvariations.com.au/QLD%20Local%20Government%20Directory","https://www.c2cvariations.com.au/QLD%20Local%20Government%20Directory","GET","404","false",""
"https://www.c2cvariations.com.au/Development.i%20Planning","https://www.c2cvariations.com.au/Development.i%20Planning","GET","404","false",""
"https://www.health.qld.gov.au/news-events/doh-media-releases","https://www.health.qld.gov.au/news-events/doh-media-releases","GET","403","false",""
"https://alert.sa.gov.au/","https://alert.sa.gov.au/","HEAD","200","true",""
"https://developmenti.information.qld.gov.au/","https://developmenti.information.qld.gov.au/","GET","0","false","HEAD:fetch failed; GET:fetch failed"
"https://www.c2cvariations.com.au/Alert%20SA","https://www.c2cvariations.com.au/Alert%20SA","GET","404","false",""
"https://www.c2cvariations.com.au/BOM%20South%20Australia%20Warnings","https://www.c2cvariations.com.au/BOM%20South%20Australia%20Warnings","GET","404","false",""
"https://www.energex.com.au/home/power-outages/outage-finder","https://www.energex.com.au/outages/outage-finder","HEAD","200","true",""
"https://www.c2cvariations.com.au/SA%20SES","https://www.c2cvariations.com.au/SA%20SES","GET","404","false",""
"https://www.ses.sa.gov.au/","https://www.ses.sa.gov.au/","HEAD","200","true",""
"https://www.bom.gov.au/sa/warnings/","https://www.bom.gov.au/sa/warnings/","HEAD","200","true",""
"https://www.c2cvariations.com.au/Traffic%20SA","https://www.c2cvariations.com.au/Traffic%20SA","GET","404","false",""
"https://www.qfes.qld.gov.au/prepare","https://www.fire.qld.gov.au/prepare","HEAD","200","true",""
"https://www.c2cvariations.com.au/Adelaide%20Metro%20Service%20Updates","https://www.c2cvariations.com.au/Adelaide%20Metro%20Service%20Updates","GET","404","false",""
"https://www.adelaidemetro.com.au/about-us/service-updates","https://www.adelaidemetro.com.au/about-us/service-updates","GET","403","false",""
"https://traffic.sa.gov.au/","https://traffic.sa.gov.au/","GET","403","false",""
"https://www.nsw.gov.au/nsw-government/councils","https://www.nsw.gov.au/nsw-government/councils","GET","404","false",""
"https://www.powerlink.com.au/network/data-and-reporting/outage-information","https://www.powerlink.com.au/network/data-and-reporting/outage-information","GET","404","false",""
"https://www.c2cvariations.com.au/Essential%20Water%20SA","https://www.c2cvariations.com.au/Essential%20Water%20SA","GET","404","false",""
"https://www.c2cvariations.com.au/SA%20Power%20Networks%20Outages","https://www.c2cvariations.com.au/SA%20Power%20Networks%20Outages","GET","404","false",""
"https://www.healthdirect.gov.au/australian-health-services/results/qld","https://www.healthdirect.gov.au/australian-health-services/results/qld","GET","500","false",""
"https://www.sahealth.sa.gov.au/wps/wcm/connect/Public+Content/SA+Health+Internet/","https://www.sahealth.sa.gov.au/wps/wcm/connect/Public+Content/SA+Health+Internet/","HEAD","200","true",""
"https://www.c2cvariations.com.au/SA%20Council%20Directory","https://www.c2cvariations.com.au/SA%20Council%20Directory","GET","404","false",""
